id,county_name,county_label,district_name,use_elementary_school_district,code
385,Madison,Madison,Hamilton,,252
386,Madison,Madison,Madison,,361
387,Madison,Madison,Morrisville-Eaton,,411
388,Madison,Madison,Mount Markham,,412
389,Madison,Madison,Oneida,,463
390,Madison,Madison,Otselic Valley,,606
391,Madison,Madison,Sherburne-Earlville,,582
392,Madison,Madison,Stockbridge Valley,,624
393,Madison,Madison,Unadilla Valley,,422
394,Madison,Madison,Vernon-Verona-Sherrill,,584
395,Madison,Madison,Waterville,,673
396,New York,Manhattan (see New York),Manhattan,,369
397,Monroe,Monroe,Avon,,29
398,Monroe,Monroe,Brighton,,63
399,Monroe,Monroe,Brockport,,66
400,Monroe,Monroe,Byron Bergen,,75
401,Monroe,Monroe,Caledonia-Mumford,,77
402,Monroe,Monroe,Churchville-Chili,,112
403,Monroe,Monroe,East Irondequoit,,160
404,Monroe,Monroe,East Rochester,,165
405,Monroe,Monroe,Fairport,,188
406,Monroe,Monroe,Gates Chili,,216
407,Monroe,Monroe,Greece,,235
408,Monroe,Monroe,Hilton,,276
409,Monroe,Monroe,Holley,,280
410,Monroe,Monroe,Honeoye Falls-Lima,,283
411,Monroe,Monroe,Kendall,,318
412,Monroe,Monroe,Penfield,,488
413,Monroe,Monroe,Pittsford,,500
414,Monroe,Monroe,Rochester,,538
415,Monroe,Monroe,Rush-Henrietta,,549
416,Monroe,Monroe,Spencerport,,614
417,Monroe,Monroe,Victor,,659
418,Monroe,Monroe,Wayne,,678
419,Monroe,Monroe,Webster,,679
420,Monroe,Monroe,West Irondequoit,,299
421,Monroe,Monroe,Wheatland-Chili,,697
422,Montgomery,Montgomery,Amsterdam,,15
423,Montgomery,Montgomery,Broadalbin-Perth,,65
424,Montgomery,Montgomery,Canajoharie,,81
425,Montgomery,Montgomery,Cherry Valley-Springfield,,616
426,Montgomery,Montgomery,Cobleskill-Richmondville,,120
427,Montgomery,Montgomery,Duanesburg,,153
428,Montgomery,Montgomery,Fonda-Fultonville,,197
429,Montgomery,Montgomery,Fort Plain,,201
430,Montgomery,Montgomery,Galway,,212
431,Montgomery,Montgomery,Johnstown,,314
432,Montgomery,Montgomery,Oppenheim-Ephratah-St. Johnsville,,467
433,Montgomery,Montgomery,Owen D. Young (Van Hornesville),,474
434,Montgomery,Montgomery,Schalmont,,568
435,Montgomery,Montgomery,Schoharie,,572
436,Montgomery,Montgomery,Scotia-Glenville,,576
437,Montgomery,Montgomery,Sharon Springs,,579
438,Nassau,Nassau,Amityville,,14
439,Nassau,Nassau,Baldwin,,32
440,Nassau,Nassau,Bellmore,,46
441,Nassau,Nassau,Bellmore-Merrick CHS,Bellmore,46
442,Nassau,Nassau,Bellmore-Merrick CHS,Merrick,389
443,Nassau,Nassau,Bellmore-Merrick CHS,North Bellmore,441
444,Nassau,Nassau,Bellmore-Merrick CHS,North Merrick,444
445,Nassau,Nassau,Bethpage,,52
446,Nassau,Nassau,Carle Place,,88
447,Nassau,Nassau,Cold Spring Harbor,,123
