County,School District,Use Elementary School District,Code Number
Ontario,Pittsford,,500
Ontario,Victor,,659
Ontario,Wayland-Cohocton,,677
Orange,Chester,,110
Orange,Cornwall,,133
Orange,Eldred,,178
Orange,Florida,,196
Orange,Goshen,,228
Orange,Greenwood Lake,,243
Orange,Highland Falls-Fort Montgomery,,275
Orange,Kiryas Joel Village,,725
Orange,Marlboro,,377
Orange,Middletown,,394
Orange,Minisink Valley,,400
Orange,Monroe-Woodbury,,403
Orange,Newburgh,,433
Orange,North Rockland,,445
Orange,Pine Bush,,495
Orange,Port Jervis,,510
Orange,Ramapo,,626
Orange,Tuxedo,,648
Orange,Valley,,405
Orange,Wallkill,,662
Orange,Warwick Valley,,668
Orange,Washingtonville,,669
Orleans,Albion,,006
Orleans,Barker,,035
Orleans,Brockport,,066
Orleans,Byron-Bergen,,075
Orleans,Holley,,280
Orleans,Kendall,,318
Orleans,Lyndonville,,359
Orleans,Medina,,387
Orleans,Oakfield-Alabama,,458
Orleans,Royalton-Hartland,,548
Oswego,Altmar-Parish-Williamstown,,012
Oswego,Camden,,079
Oswego,Cato-Meridian,,092
Oswego,Central Square,,098
Oswego,Fulton,,211
Oswego,Hannibal,,257
Oswego,Mexico Academy and Central,,390
Oswego,Oswego,,472
Oswego,Phoenix,,494
Oswego,Pulaski Academy and Central,,516
Oswego,Sandy Creek,,559
Oswego,South Jefferson,,600
Otsego,Bainbridge-Guilford,,031
Otsego,Charlotte Valley,,101
Otsego,Cherry Valley-Springfield,,616
Otsego,Cobleskill-Richmondville,,120
Otsego,Cooperstown,,128
Otsego,Edmeston,,174
Otsego,Franklin,,203
Otsego,Gilbertsville-Mount Upton,,222
Otsego,Laurens,,336
Otsego,Milford,,395
Otsego,Morris,,409
Otsego,Mount Markham,,412
Otsego,Oneonta,,464
Otsego,Owen D. Young (Van Hornesville),,474
Otsego,Richfield Springs,,533
Otsego,Schenevus,,570
Otsego,Sharon Springs,,579
Otsego,Sidney,,586
Otsego,Unadilla Valley,,422
Otsego,Unatego,,649
Otsego,Worcester,,711
Putnam,Brewster,,060
Putnam,Carmel,,089
Putnam,Garrison,,215
Putnam,Haldane,,249
Putnam,Lakeland,,331
Putnam,Mahopac,,363
Putnam,North Salem,,447
Putnam,Pawling,,483
Putnam,Putnam Valley,,518
Putnam,Wappingers,,665
Queens,Queens,,519
Rensselaer,Averill Park,,027
Rensselaer,Berlin,,049
Rensselaer,Brunswick (Brittonkill),,064
Rensselaer,Cambridge,,078
Rensselaer,East Greenbush,,158
Rensselaer,Hoosic Falls,,285
Rensselaer,Hoosick Valley,,284
Rensselaer,Ichabod Crane,,294
Rensselaer,Lansingburgh,,334
Rensselaer,Mechanicville,,386
Rensselaer,New Lebanon,,426
Rensselaer,North Greenbush (Williams),,704
Rensselaer,Rensselaer,,530
Rensselaer,Schodack,,571
Rensselaer,Stillwater,,623
Rensselaer,Troy,,642
Rensselaer,Wynantskill,,713
Richmond (Staten Island),Richmond (Staten Island),,622
Rockland,Clarkstown,,423
Rockland,East Ramapo,,615
Rockland,Nanuet,,419
Rockland,North Rockland,,445
Rockland,Nyack,,457
Rockland,Pearl River,,484
Rockland,Ramapo,,626
Rockland,South Orangetown,,605
Saratoga,Amsterdam,,015
Saratoga,Ballston Spa,,034
Saratoga,Broadalbin-Perth,,065
Saratoga,Burnt Hills-Ballston Lake,,074
Saratoga,Corinth,,131
Saratoga,Edinburg,,173
Saratoga,Galway,,212
Saratoga,Hadley Luzerne,,247
Saratoga,Hudson Falls,,290
Saratoga,Mechanicville,,386
Saratoga,Niskayuna,,439
Saratoga,Northville,,454
Saratoga,Saratoga Springs,,562
Saratoga,Schuylerville,,574
Saratoga,Scotia Glenville,,576
Saratoga,Shenendehowa,,581
Saratoga,South Glens Falls,,597
Saratoga,Stillwater,,623
Saratoga,Waterford-Halfmoon,,670
Schenectady,Amsterdam,,015
